#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
1,USA,"39,665,515",,"654,689 ",,"30,826,478",,"8,184,348","25,452","119,026","1,965","579,364,654","1,738,518","333,251,943 ",North America,85091,,,"24,559"
2,India,"32,737,939",+370,"438,387 ",,"31,923,405","+7,436","376,147","8,944","23,456",314,"520,146,525","372,673","1,395,716,635 ",Asia,"433,1843",0.3,,270
3,Brazil,"20,741,815",,"579,330 ",,"19,663,748",,"498,737","8,318","96,784","2,703","56,897,224","265,490","214,310,027 ",South America,103704,,,"2,327"
4,Russia,"6,882,827",,"181,637 ",,"6,148,250",,"552,940","2,300","47,140","1,244","178,100,000","1,219,804","146,007,035 ",Europe,218041,,,"3,787"
5,France,"6,742,488",,"114,210 ",,"6,196,723",,"431,555","2,270","103,032","1,745","121,518,857","1,856,923","65,440,981 ",Europe,105731,,,"6,595"
6,UK,"6,731,423",,"132,437 ",,"5,383,649",,"1,215,337",982,"98,558","1,939","266,714,771","3,905,088","68,299,300 ",Europe,105160,,,"17,794"
7,Turkey,"6,346,881",,"56,213 ",,"5,809,710",,"480,958",633,"74,328",658,"75,857,048","888,361","85,389,874 ",Asia,"131,5191",,,"5,632"
8,Argentina,"5,173,531",,"111,383 ",,"4,862,284",,"199,864","2,747","113,266","2,439","21,946,074","480,472","45,676,111 ",South America,94102,,,"4,376"
9,Iran,"4,926,964",,"106,482 ",,"4,146,742",,"673,740","7,877","57,803","1,249","28,213,229","330,996","85,237,281 ",Asia,178003,,,"7,904"
10,Colombia,"4,905,258",,"124,811 ",,"4,736,032",,"44,415","8,155","95,228","2,423","24,092,793","467,723","51,510,867 ",South America,114132,,,862
11,Spain,"4,831,809",,"84,000 ",,"4,258,193",,"489,616","1,685","103,297","1,796","60,618,810","1,295,944","46,775,781 ",Europe,105571,,,"10,467"
12,Italy,"4,530,246",,"129,093 ",,"4,260,106",,"141,047",525,"75,055","2,139","83,618,273","1,385,356","60,358,689 ",Europe,134681,,,"2,337"
13,Indonesia,"4,073,831",,"131,923 ",,"3,724,318",,"217,590",,"14,714",476,"31,866,410","115,094","276,872,695 ",Asia,"682,0999",,,786
14,Germany,"3,940,211",,"92,643 ",,"3,731,900","+5,200","115,668","1,008","46,855","1,102","68,329,706","812,535","84,094,524 ",Europe,219081,,,"1,375"
15,Mexico,"3,335,700","+6,837","258,165 ",+259,"2,669,941","+14,545","407,594","4,798","25,561","1,978","9,712,233","74,422","130,501,308 ",North America,3950513,52,2,"3,123"
16,Poland,"2,888,231",,"75,340 ",,"2,656,855",,"156,036",57,"76,411","1,993","19,711,583","521,491","37,798,527 ",Europe,135022,,,"4,128"
17,South Africa,"2,764,931",,"81,595 ",,"2,526,199",,"157,137",546,"45,949","1,356","16,393,971","272,442","60,174,219 ",Africa,227374,,,"2,611"
18,Ukraine,"2,284,940",+749,"53,738 ",+18,"2,206,683",+291,"24,519",177,"52,613","1,237","11,958,965","275,370","43,428,789 ",Europe,198084,17,0.4,565
19,Peru,"2,148,419",,"198,167 ",,N/A,N/A,N/A,"1,344","64,125","5,915","16,682,090","497,923","33,503,356 ",South America,161692,,,"6,853"
20,Philippines,"1,954,023",,"33,109 ",,"1,777,693",,"143,221","3,055","17,561",298,"18,604,323","167,201","111,269,043 ",Asia,"573,3616",,,"1,287"
21,Netherlands,"1,936,572",,"17,996 ",,"1,844,590",,"73,986",220,"112,730","1,048","16,593,808","965,945","17,178,832 ",Europe,99551,,,"4,307"
22,Iraq,"1,874,435",,"20,699 ",,"1,719,557",,"134,179",907,"45,424",502,"14,272,791","345,880","41,265,186 ",Asia,"221,9943",,,"3,252"
23,Malaysia,"1,706,089",,"16,087 ",,"1,422,005",,"267,997","1,009","51,942",490,"22,461,139","683,832","32,845,972 ",Asia,"192,0421",,,"8,159"
24,Czechia,"1,678,862",,"30,402 ",,"1,646,369",,"2,091",11,"156,435","2,833","35,792,034","3,335,070","10,732,018 ",Europe,63530,,,195
25,Chile,"1,637,829",,"36,885 ",,"1,594,585",,"6,359",724,"84,834","1,911","20,201,705","1,046,380","19,306,272 ",South America,125231,,,329
26,Bangladesh,"1,493,537",,"26,015 ",,"1,415,697",,"51,825","1,416","8,965",156,"8,869,393","53,241","166,589,449 ",Asia,"1126,40419",,,311
27,Canada,"1,489,813",,"26,901 ",,"1,433,095",,"29,817",274,"39,077",706,"40,235,533","1,055,346","38,125,449 ",North America,"261,4171",,,782
28,Japan,"1,434,370",,"15,896 ",,"1,173,112",,"245,362","2,070","11,381",126,"21,539,189","170,909","126,027,215 ",Asia,"887,9286",,,"1,947"
29,Thailand,"1,190,063","+15,972","11,399 ",+256,"1,002,527","+17,281","176,137","5,174","17,000",163,"8,129,670","116,133","70,003,048 ",Asia,"596,1419",228,4,"2,516"
30,Belgium,"1,177,909",,"25,360 ",,"1,093,676",,"58,873",182,"101,125","2,177","18,533,278","1,591,101","11,648,087 ",Europe,104591,,,"5,054"
31,Pakistan,"1,156,281","+3,800","25,670 ",+66,"1,036,921","+3,548","93,690","5,612","5,120",114,"17,704,220","78,389","225,850,310 ",Asia,"1958,79813",17,0.3,415
32,Sweden,"1,123,413",,"14,644 ",,"1,086,097",,"22,672",39,"110,439","1,440","11,757,024","1,155,795","10,172,237 ",Europe,96951,,,"2,229"
33,Romania,"1,096,753",,"34,528 ",,"1,054,246",,"7,979",269,"57,456","1,809","11,433,144","598,948","19,088,721 ",Europe,175532,,,418
34,Israel,"1,051,609",,"6,989 ",,"966,079",,"78,541",752,"112,761",749,"19,023,673","2,039,853","9,326,000 ",Asia,"91,3340",,,"8,422"
35,Portugal,"1,034,947",,"17,721 ",,"971,567",,"45,659",148,"101,843","1,744","16,856,683","1,658,761","10,162,213 ",Europe,105731,,,"4,493"
36,Morocco,"853,373",,"12,437 ",,"780,434",,"60,502","1,319","22,807",332,"8,915,626","238,277","37,417,024 ",Africa,"443,0094",,,"1,617"
37,Hungary,"811,706",,"30,057 ",,"775,286",,"6,363",8,"84,273","3,121","6,542,042","679,206","9,631,891 ",Europe,123201,,,661
38,Jordan,"795,161",,"10,383 ",,"773,065",,"11,713",611,"77,047","1,006","9,198,137","891,255","10,320,434 ",Asia,139941,,,"1,135"
39,Kazakhstan,"785,149","+5,222","9,222 ",+104,"667,096","+4,938","108,831",221,"41,244",484,"11,575,012","608,037","19,036,704 ",Asia,"242,0642",274,5,"5,717"
40,Switzerland,"770,758",,"10,967 ",,"705,104",,"54,687",223,"88,309","1,257","9,658,850","1,106,657","8,727,950 ",Europe,117961,,,"6,266"
41,Nepal,"759,222",,"10,714 ",,"712,712",,"35,796",,"25,526",360,"3,894,137","130,927","29,742,757 ",Asia,"392,7768",,,"1,204"
42,Serbia,"757,617",,"7,266 ",,"719,989",,"30,362",83,"87,117",836,"4,997,121","574,611","8,696,530 ",Europe,"111,1972",,,"3,491"
43,UAE,"716,381",,"2,038 ",,"702,102",,"12,241",,"71,433",203,"74,125,745","7,391,338","10,028,732 ",Asia,"144,9210",,,"1,221"
44,Austria,"685,956",,"10,781 ",,"660,098",,"15,077",112,"75,663","1,189","76,013,008","8,384,450","9,065,950 ",Europe,138410,,,"1,663"
45,Tunisia,"660,587",,"23,369 ",,"609,496",,"27,722",515,"55,225","1,954","2,571,450","214,972","11,961,817 ",Africa,185125,,,"2,318"
46,Cuba,"640,438",,"5,144 ",,"596,846",,"38,448",453,"56,583",454,"7,845,245","693,129","11,318,597 ",North America,"182,2001",,,"3,397"
47,Lebanon,"600,451",,"8,044 ",,"551,433",,"40,974",54,"88,432","1,185","4,759,054","700,894","6,789,974 ",Asia,118441,,,"6,034"
48,Greece,"581,315",,"13,581 ",,"530,205",,"37,529",334,"56,090","1,310","15,361,858","1,482,237","10,363,967 ",Europe,187631,,,"3,621"
49,Saudi Arabia,"544,004",,"8,532 ",,"532,126",,"3,346",952,"15,350",241,"27,329,589","771,128","35,441,074 ",Asia,"654,1541",,,94
50,Georgia,"543,118",,"7,251 ",,"482,732",,"53,135",,"136,452","1,822","7,973,106","2,003,150","3,980,284 ",Asia,75490,,,"13,350"
51,Ecuador,"501,140",,"32,232 ",,"443,880",,"25,028",759,"27,914","1,795","1,765,543","98,343","17,953,000 ",South America,3655710,,,"1,394"
52,Bolivia,"490,056",+254,"18,411 ",+9,"433,353",+743,"38,292",220,"41,330","1,553","2,276,507","191,992","11,857,290 ",South America,246445,21,0.8,"3,229"
53,Belarus,"479,306",,"3,757 ",,"472,505",,"3,044",,"50,743",398,"7,777,175","823,355","9,445,718 ",Europe,"202,5141",,,322
54,Guatemala,"465,059",,"11,858 ",,"400,378",,"52,823",5,"25,415",648,"2,178,407","119,047","18,298,724 ",North America,"391,5438",,,"2,887"
55,Paraguay,"458,334",,"15,723 ",,"436,831",,"5,780",130,"63,359","2,173","1,772,223","244,987","7,233,955 ",South America,164604,,,799
56,Panama,"456,666",,"7,046 ",,"441,655",,"7,965",108,"103,945","1,604","3,652,689","831,415","4,393,339 ",North America,106241,,,"1,813"
57,Costa Rica,"455,784",,"5,431 ",,"366,572",,"83,781",445,"88,536","1,055","2,006,420","389,748","5,147,995 ",North America,119483,,,"16,274"
58,Bulgaria,"451,599",,"18,731 ",,"404,359",,"28,509",298,"65,566","2,719","4,167,183","605,016","6,887,721 ",Europe,153682,,,"4,139"
59,Vietnam,"435,265",,"10,749 ",,"219,802",,"204,714",,"4,426",109,"16,083,797","163,531","98,352,977 ",Asia,"2269,1506",,,"2,081"
60,Sri Lanka,"426,169",,"8,775 ",,"357,598",,"59,796",,"19,806",408,"4,855,036","225,634","21,517,320 ",Asia,"502,4524",,,"2,779"
61,Azerbaijan,"417,996",,"5,553 ",,"361,128",,"51,315",,"40,800",542,"4,431,053","432,508","10,245,027 ",Asia,"251,8452",,,"5,009"
62,Kuwait,"409,552",,"2,417 ",,"404,558",,"2,577",89,"94,288",556,"3,761,073","865,880","4,343,644 ",Asia,"111,7971",,,593
63,Slovakia,"394,742",,"12,548 ",,"380,981",,"1,213",12,"72,261","2,297","3,311,147","606,136","5,462,709 ",Europe,144352,,,222
64,Myanmar,"392,300",,"15,183 ",,"311,952",,"65,165",,"7,155",277,"3,532,315","64,420","54,832,434 ",Asia,"1403,61116",,,"1,188"
65,Uruguay,"384,692",,"6,029 ",,"377,510",,"1,153",12,"110,300","1,729","3,315,862","950,734","3,487,686 ",South America,95781,,,331
66,Croatia,"373,191",,"8,325 ",,"361,535",,"3,331",51,"91,561","2,043","2,530,602","620,872","4,075,881 ",Europe,114902,,,817
67,Dominican Republic,"349,859",,"4,007 ",,"340,733",,"5,119",136,"31,881",365,"1,950,593","177,749","10,973,884 ",North America,"312,7396",,,466
68,Ireland,"349,773",,"5,092 ",,"294,457",,"50,224",60,"69,932","1,018","6,415,912","1,282,760","5,001,646 ",Europe,149821,,,"10,041"
69,Denmark,"344,088",,"2,580 ",,"328,434",,"13,074",19,"59,164",444,"80,757,776","13,885,813","5,815,848 ",Europe,"172,2540",,,"2,248"
70,Palestine,"337,405",,"3,672 ",,"316,998",,"16,735",46,"64,410",701,"2,158,580","412,070","5,238,388 ",Asia,"161,4272",,,"3,195"
71,Honduras,"335,398",,"8,832 ",,"106,597",,"219,969",654,"33,251",876,"968,331","96,000","10,086,829 ",North America,"301,14210",,,"21,808"
72,Venezuela,"333,125",,"3,998 ",,"318,211",,"10,916",681,"11,754",141,"3,359,014","118,515","28,342,457 ",South America,"857,0898",,,385
73,Ethiopia,"306,117",,"4,644 ",,"274,577",,"26,896",602,"2,589",39,"3,225,641","27,278","118,251,683 ",Africa,"38625,46337",,,227
74,Libya,"305,793",,"4,184 ",,"218,534",,"83,075",,"43,814",599,"1,510,454","216,415","6,979,424 ",Africa,"231,6685",,,"11,903"
75,Oman,"302,132",,"4,057 ",,"291,532",,"6,543",60,"57,477",772,"1,550,000","294,869","5,256,567 ",Asia,"171,2963",,,"1,245"
76,Lithuania,"297,777",,"4,539 ",,"279,529",,"13,709",100,"111,187","1,695","4,402,764","1,643,951","2,678,160 ",Europe,95901,,,"5,119"
77,Egypt,"287,899",,"16,721 ",,"238,249",,"32,929",90,"2,753",160,"3,068,679","29,347","104,565,754 ",Africa,"3636,25434",,,315
78,Bahrain,"272,341",,"1,388 ",,"270,005",,948,2,"153,889",784,"5,900,926","3,334,369","1,769,728 ",Asia,"61,2750",,,536
79,Moldova,"266,988",,"6,394 ",,"257,114",,"3,480",67,"66,364","1,589","1,564,641","388,916","4,023,086 ",Europe,156293,,,865
80,Slovenia,"266,514",,"4,448 ",,"256,994",,"5,072",13,"128,177","2,139","1,443,313","694,144","2,079,269 ",Europe,84671,,,"2,439"
81,S. Korea,"250,051","+1,483","2,284 ",+5,"220,358","+1,632","27,409",396,"4,872",45,"13,049,684","254,279","51,320,354 ",Asia,"20522,4704",29,0.10,534
82,Armenia,"241,336",,"4,823 ",,"226,292",,"10,221",,"81,267","1,624","1,530,099","515,243","2,969,665 ",Asia,126162,,,"3,442"
83,Kenya,"234,952",,"4,710 ",,"220,953",,"9,289",149,"4,261",85,"2,363,524","42,864","55,139,693 ",Africa,"23511,70723",,,168
84,Qatar,"232,366",,602 ,,"229,046",,"2,718",23,"82,757",214,"2,492,185","887,592","2,807,805 ",Asia,"124,6641",,,968
85,Bosnia and Herzegovina,"212,306",,"9,785 ",,"192,218",,"10,303",,"65,182","3,004","1,132,357","347,655","3,257,131 ",Europe,153333,,,"3,163"
86,Mongolia,"211,080","+2,209",931 ,+4,"190,819","+1,795","19,330",192,"63,210",279,"3,647,780","1,092,360","3,339,356 ",Asia,"163,5871",662,1,"5,789"
87,Zambia,"206,051",,"3,596 ",,"200,662",,"1,793",118,"10,857",189,"2,263,831","119,287","18,978,045 ",Africa,"925,2788",,,94
88,Algeria,"195,162",,"5,209 ",,"132,667",,"57,286",39,"4,360",116,"230,861","5,157","44,766,608 ",Africa,"2298,594194",,,"1,280"
89,Nigeria,"191,345",,"2,454 ",,"178,283",,"10,608",11,902,12,"2,727,834","12,865","212,038,975 ",Africa,"1,10886,40578",,,50
90,Kyrgyzstan,"175,589",+152,"2,524 ",+6,"169,417",+300,"3,648",131,"26,410",380,"1,635,882","246,046","6,648,692 ",Asia,"382,6344",23,0.9,549
91,North Macedonia,"175,330",,"5,869 ",,"155,101",,"14,360",,"84,161","2,817","1,149,699","551,871","2,083,275 ",Europe,123552,,,"6,893"
92,Norway,"157,040",,814 ,,"88,952",,"67,274",10,"28,707",149,"7,017,791","1,282,878","5,470,349 ",Europe,"356,7201",,,"12,298"
93,Uzbekistan,"155,639",+795,"1,075 ",+5,"147,903",+660,"6,661",23,"4,574",32,"1,377,915","40,491","34,030,450 ",Asia,"21931,65625",23,0.1,196
94,Botswana,"153,793",,"2,213 ",,"144,254",,"7,326",1,"63,907",920,"1,629,455","677,105","2,406,504 ",Africa,"161,0871",,,"3,044"
95,Afghanistan,"153,144",,"7,116 ",,"109,921",,"36,107","1,124","3,834",178,"751,100","18,805","39,941,121 ",Asia,"2615,61353",,,904
96,Mozambique,"145,863",,"1,851 ",,"131,533",,"12,479",32,"4,521",57,"846,662","26,240","32,265,861 ",Africa,"22117,43238",,,387
97,Albania,"144,847",,"2,492 ",,"133,125",,"9,230",3,"50,396",867,"1,042,177","362,603","2,874,152 ",Europe,"201,1533",,,"3,211"
98,Latvia,"142,319",,"2,573 ",,"137,561",,"2,185",21,"76,434","1,382","3,457,841","1,857,078","1,861,979 ",Europe,137241,,,"1,173"
99,Estonia,"141,344",,"1,289 ",,"133,408",,"6,647",13,"106,468",971,"1,745,301","1,314,658","1,327,570 ",Europe,"91,0301",,,"5,007"
